,feature,importance
740,loc_vrchoslavice,2.443890028579745e-06
183,loc_drasov,2.399263477630016e-06
741,loc_vrdy,2.3725748149600647e-06
556,loc_rakvice,2.3656922720445323e-06
403,loc_lukov,2.3456763568706216e-06
780,loc_zirovnice,2.3148616498282777e-06
477,loc_olovi,2.290575019649217e-06
100,loc_brandysek,2.2863686289744254e-06
244,loc_hrochuv,2.2691641509509973e-06
409,loc_mala,2.254740326999253e-06
373,loc_libochovice,2.248395386836549e-06
344,loc_kunovice,2.2080200193818625e-06
322,loc_kozlany,2.1872599895458956e-06
289,loc_kamenny,2.1702768942758854e-06
696,loc_ustek,2.156272980331435e-06
377,loc_lichnov,2.119008734278893e-06
788,loc_zubri,2.1047190050547507e-06
